,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
348,Manager / Senior Manager - Data Analyst,Huquo Consulting Pvt. Ltd,Multiple,BA / BS/BTech minimum educational requirement Proficiency in Excel required Have prior ...,2-7 Yrs," Data Analysis, Python, Tableau, analytical, Airflow, SQL, Excel, Data Visualization",https://www.naukri.com/job-listings-manager-senior-manager-data-analyst-huquo-consulting-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-ahmedabad-jaipur-delhi-ncr-bangalore-bengaluru-2-to-7-years-291122908798
349,AVAP Agile Information Systems - Data Scientist - R/SQL/Python,AVAP Agile,Multiple,"A masters degree within either engineering, physics, IT, mathematicsstatistics, meteoro...",3-8 Yrs," Python, Data Science, R, Linux, Data Scientist, Data Management, Perl, SQL",https://www.naukri.com/job-listings-avap-agile-information-systems-data-scientist-r-sql-python-avap-agile-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-3-to-8-years-281122907280
350,Data Scientist required at Mumbai-Bangalore,Flexability Hr Solutions,Multiple,"Qualification & Experience: BTech or Bachelors degree in mathematics, statistics or com...",1-6 Yrs," Data Science, Predictive Modeling, Regression, Statistical Modeling, Python, Time Series Analysis, data scientist, Statistical Analyses",https://www.naukri.com/job-listings-data-scientist-required-at-mumbai-bangalore-flexability-hr-solutions-bangalore-bengaluru-mumbai-all-areas-1-to-6-years-281122011244
351,Manager - Data Scientist,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors / Masters degree in economics, mathematics, computer science / engineering, o...",4-9 Yrs," Event Management, Data Science, SAS, Data Analytics, Analytics",https://www.naukri.com/job-listings-manager-data-scientist-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-9-years-011122908704
352,Manager - Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors / Masters degree in economics, mathematics, computer science / engineering, o...",5-10 Yrs," data analytics, Analytics, Python, Predictive Modeling, Data Science, NLP, SAS, Data Scientist",https://www.naukri.com/job-listings-manager-data-scientist-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-5-to-10-years-011122908197
353,Data Scientist - Machine Learning,HyringNinja,Multiple,"Good mathematical background and knowledge of data science, deep learning, machine lear...",1-5 Yrs," Machine Learning, Data Science, Data Scientist, Django, Artificial Intelligence, Data Analyst, Statistical Analyst, Deep Learning",https://www.naukri.com/job-listings-data-scientist-machine-learning-hyringninja-mumbai-pune-1-to-5-years-301122911853
354,Data Scientist,Talent Et Au-dela,Pune,Strong total 6-8 years experience and hands-on as a Data Scientist,6-8 Yrs," Automation, Bluetooth, Data analysis, data science, Analytical, IT management, Sensors, Customer experience",https://www.naukri.com/job-listings-data-scientist-talent-et-au-dela-pune-6-to-8-years-301122500655
355,Data Scientist - R/Python,Okda Solutions,Multiple,Permanently work from homeUS SHIFT 3:00 PM TO 12:00 AM IST Bachelors degree in computer...,4-7 Yrs," Python, Data Science, Java, R, Data Scientist, Artificial Intelligence, Data Management, Data Modeling",https://www.naukri.com/job-listings-data-scientist-r-python-okda-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-4-to-7-years-291122913345
356,Data Scientist,Adecco Group,Multiple,"Roles and Responsibilities Strong expereince into Ai, Clustering, Machine Learning Desi...",10-14 Yrs," data science, Artificial Intelligence, Machine Learning, Ai, Clustering",https://www.naukri.com/job-listings-data-scientist-adecco-group-kochi-cochin-chennai-bangalore-bengaluru-trivandrum-thiruvananthapuram-10-to-14-years-291122004475
357,Associate Data Scientist,Shell,Chennai,This job profile contains generic information and does not describe individual position...,3-5 Yrs," Data Science, Data Scientist, project design, Data Analytics",https://www.naukri.com/job-listings-associate-data-scientist-shell-india-markets-private-limited-chennai-3-to-5-years-161122914574
358,Data Scientist,Virtue Analytics,Lucknow,A keen ability to story board data and good communication skills,3-5 Yrs," data mining, Data Science, Data Scientist, Data Management, Data Modeling, Data Analytics, Machine Learning, Analytics",https://www.naukri.com/job-listings-data-scientist-virtue-analytics-lucknow-3-to-5-years-111122908264
359,Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,Multiple,Btech / Masters from top tier insitute / university with excellent academic recordExper...,3-8 Yrs," NLP, Data Science, Data Scientist, Data Management, Statistical Modeling, Data Visualization, Data Analytics, Machine Learning",https://www.naukri.com/job-listings-data-scientist-bfsi-huquo-consulting-pvt-ltd-gurgaon-gurugram-delhi-ncr-3-to-8-years-071122904500
360,Data scientist,CliqHR Recruitment Services,Kochi,Requirements: Data scientist with experience working in time-series problemsProven expe...,4-8 Yrs," Data science, data analysis, Jupyter, Python, pandas, machine learning, data networking",https://www.naukri.com/job-listings-data-scientist-cliqhr-recruitment-services-kochi-cochin-4-to-8-years-021222910379
361,Data Scientist,Enqos,Chennai,Experience working independently in linux operating systems Skilled knowledge of neural...,3-6 Yrs," linux, Spark, numpy, Kubeflow, AWS, pandas, vector search, Tensorflow",https://www.naukri.com/job-listings-data-scientist-enqos-chennai-3-to-6-years-301122500145
362,"Hiring Data Scientists - Python, ML, Statistical Model Development",D&B Technologies and Data Services Pvt Ltd,Hybrid,"Key SkillsRisk Analytics, Regression Modeling and Validation, Credit Risk Scorecard dev...",2-5 Yrs," Predictive Modeling, Data Science, Machine Learning, Statistics, Python, NLP, Pandas, NumPy",https://www.naukri.com/job-listings-hiring-data-scientists-python-ml-statistical-model-development-d-b-technologies-and-data-services-pvt-ltd-chennai-2-to-5-years-291122011210
363,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Gurgaon,Should be able to work on a problem independently and prepare client ready deliverable ...,4-9 Yrs," Data Science, Data Scientist, Data Management, Python Coding, Data Modeling, Data Analytics, Machine Learning, Analytics",https://www.naukri.com/job-listings-data-scientist-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-9-years-081122900014
364,Data Scientist - Digital Marketing Solutions,OPTIONS INDIA GROUP,Kolkata,Role Objective : - Developing advanced algorithms to solve problems of large dimensiona...,3-8 Yrs," Big Data Analytics, Data Science, Data Scientist, Artificial Intelligence, Big Data, Data Mining, Tableau, Machine Learning",https://www.naukri.com/job-listings-data-scientist-digital-marketing-solutions-options-india-group-kolkata-3-to-8-years-031122915159
365,Associate - Sales and Solutioning,Themathcompany,Bangalore,Structured thinking and ability to handle stress. Fluent communication skills Passionat...,3-7 Yrs," data science, Networking, Data analytics, Sales Associate, Analytics",https://www.naukri.com/job-listings-associate-sales-and-solutioning-themathcompany-bangalore-bengaluru-3-to-7-years-011222501279
366,"Data Scientist - EdTech (Product based Company), Noida Sec-132 or NSEZ",Omam Consultants,Noida,Knowledge of Sagemaker on AWS is must Experience with machine learning frameworks (like...,3-8 Yrs," data science, Natural Language Processing, machine learning, algorithms, nlp, Artificial Intelligence, ML",https://www.naukri.com/job-listings-data-scientist-edtech-product-based-company-noida-sec-132-or-nsez-omam-consultants-noida-3-to-8-years-011222011000
367,Data Scientist,Mastermind Network,Multiple,7 years in Data Scientist/ Data Science role with Good working knowledge in Machine Lea...,5-8 Yrs," machine learning, deep learning, python, data science, Artificial Intelligence, decision trees, Analytics, data Scientist",https://www.naukri.com/job-listings-data-scientist-mastermind-network-delhi-ncr-mumbai-all-areas-5-to-8-years-011222010405
368,Data Scientist,Huquo Consulting Pvt. Ltd,Gurgaon,Should be able to work on a problem independently and prepare client ready deliverable ...,2-4 Yrs," Predictive Modeling, Data Science, Data Scientist, Data Management, Statistical Modeling, Tableau, Data Analytics, Statistics",https://www.naukri.com/job-listings-data-scientist-huquo-consulting-pvt-ltd-gurgaon-gurugram-2-to-4-years-011122908094
369,Data Scientist,Huquo Consulting Pvt. Ltd,Gurgaon,Should be able to work on a problem independently and prepare client ready deliverable ...,4-9 Yrs," Data Science, Data Scientist, Data Management, Data Modeling, Data Analytics, Machine Learning, Analytics, SQL",https://www.naukri.com/job-listings-data-scientist-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-9-years-011122907862
370,Data Scientist,Seven Consultancy (HR Solution),Chennai,Be able to take the initiative and work with minimum guidance and requirementsMust have...,3-8 Yrs," data science, Workflow management, OOPS, Machine learning, Infrastructure, Programming, Data structures, Data analytics",https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501506
371,Data Scientist,Seven Consultancy (HR Solution),New Delhi,Be able to take the initiative and work with minimum guidance and requirementsMust have...,3-8 Yrs," data science, big data analytics, Workflow management, Consulting, Machine learning, Infrastructure, Programming, Data structures",https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hr-solution-new-delhi-3-to-8-years-280322501505
372,Data Scientist,Seven Consultancy (HR Solution),Mumbai,Be able to take the initiative and work with minimum guidance and requirementsMust have...,2-7 Yrs," data science, big data analytics, Workflow management, Machine learning, Infrastructure, Data structures, Consultancy, Apache",https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hr-solution-mumbai-2-to-7-years-280322501325
373,Lead Machine Learning Engineer/ Data Scientist 7+ years,KP Hr And Infra Services,Permanent Remote,5+ years of experience in implementing Machine Learning and Deep Learning models applie...,7-10 Yrs," Data Science, NLP, Natural Language Processing, ANN, Deep Learning, Machine Learning, SVM",https://www.naukri.com/job-listings-lead-machine-learning-engineer-data-scientist-7-years-kp-hr-and-infra-services-pune-7-to-10-years-021222006429
374,Senior Data Scientist || Gurgaon,Neoris,Temp. WFH,"Bachelors degree from Tier I / II colleges (Post Graduation Good to have, not mandatory...",5-7 Yrs," Tensorflow, Data Science, Python, Pytorch, R, Artificial Neural Networks, Text Mining, Computer Vision",https://www.naukri.com/job-listings-senior-data-scientist-gurgaon-neoris-consulting-services-india-pvt-ltd-gurgaon-gurugram-5-to-7-years-291122914721
375,Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,Multiple,Very strong analytical skills with the demonstrated ability to research and make decisi...,2-7 Yrs," SQL, python, r, nlp, data science, sas, neural networks, pytorch",https://www.naukri.com/job-listings-assistant-manager-manager-senior-manager-data-scientist-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-gurugram-2-to-7-years-171122908975
376,Sr. Data Scientist || Work from Office ||,BonusHub,Noida,"Demonstrated hands-on experience in using algorithm libraries / frameworks like H2O, Ke...",3-8 Yrs, Data Science,https://www.naukri.com/job-listings-sr-data-scientist-work-from-office-bonushub-noida-3-to-8-years-291122015677
377,Senior Data Scientist,Decision Point,Hybrid,Candidate should be research oriented and passionate to learn new technologies and adap...,3-8 Yrs," Time Series Analysis, time series, machine learning, Data Science, Arima",https://www.naukri.com/job-listings-senior-data-scientist-decision-point-gurgaon-gurugram-3-to-8-years-251122006543
378,Senior Data Scientist,SuccessR Hrtech Pvt Ltd,Temp. WFH,"Responsibilities:Design, Implement and Evaluate models and Design machine learning syst...",5-9 Yrs," Python, deep learning, lstm, cnn, nlp, rnn, data science, pytorch",https://www.naukri.com/job-listings-senior-data-scientist-successr-hrtech-pvt-ltd-bangalore-bengaluru-5-to-9-years-181122912352
379,Jr/Sr Data Scientist -  Product Company -Mumbai ( Remote working),Maestro Headhunters LLP,Mumbai,Open for candidates to work remotely Our client is one of the fastest-growing start-up ...,3-8 Yrs," Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C",https://www.naukri.com/job-listings-jr-sr-data-scientist-product-company-mumbai-remote-working-maestro-headhunters-llp-mumbai-all-areas-3-to-8-years-070919002423
380,Sr . Data Scientist,ORMAE (Operations Research Machine learning & Analytics Experts LLP),Bangalore,Must have experience of deploying data science / machine learning projects at scaleMini...,3-10 Yrs," machine learning, D3 js, Tableau, graph theory, predictive analytics, Spark, data structures, object - oriented programming",https://www.naukri.com/job-listings-sr-data-scientist-ormae-operations-research-machine-learning-analytics-experts-llp-bangalore-bengaluru-3-to-10-years-211122502556
